creation_date,listing_active_count,num_favorers,currency_code,is_shop_us_based,sale_message,sales_count,review_count,shop_location
19-Nov,3,1,USD,TRUE,FALSE,0,0,"Kansas City, Missouri"
19-Nov,13,1,AUD,FALSE,FALSE,2,0,None
19-Nov,0,0,USD,TRUE,FALSE,-99,-99,None
19-Nov,40,1,USD,FALSE,FALSE,0,0,"Kharkiv, Ukraine"
19-Nov,7,1,USD,TRUE,FALSE,0,0,"New York, United States"
19-Nov,0,40,USD,TRUE,FALSE,14,1,None
19-Nov,1,0,USD,TRUE,FALSE,0,0,None
19-Nov,0,0,USD,FALSE,FALSE,0,0,None
19-Nov,8,1,USD,TRUE,FALSE,0,0,None
19-Nov,7,1,USD,TRUE,FALSE,0,0,None
19-Nov,2,0,USD,TRUE,FALSE,0,0,None
19-Nov,12,2,USD,FALSE,FALSE,0,0,"Tel Aviv, Israel"
19-Nov,12,6,USD,TRUE,TRUE,1,0,"Pittsburgh, Pennsylvania"
19-Nov,2,0,EUR,FALSE,FALSE,0,0,None
19-Nov,54,1,USD,FALSE,FALSE,0,0,None
19-Nov,4,1,EUR,FALSE,FALSE,0,0,"Bordeaux, France"
19-Nov,2,0,USD,TRUE,FALSE,0,0,None
19-Nov,0,0,USD,TRUE,FALSE,1,0,None
19-Nov,6,1,USD,TRUE,FALSE,0,0,None
19-Nov,3,0,CAD,FALSE,FALSE,0,0,None
19-Nov,0,0,USD,TRUE,FALSE,0,0,"Lodi, California"
19-Nov,0,0,EUR,FALSE,FALSE,0,0,"Ransbach-Baumbach, Germany"
19-Nov,2,0,USD,TRUE,TRUE,0,0,"Perry, Florida"
19-Nov,2,0,GBP,FALSE,FALSE,0,0,"London, United Kingdom"
19-Nov,2,0,USD,TRUE,FALSE,0,0,"Long Beach, California"
19-Nov,6,0,USD,TRUE,FALSE,0,0,None
19-Nov,3,1,USD,TRUE,FALSE,0,0,None
19-Nov,1,2,USD,TRUE,FALSE,1,1,None
19-Nov,2,2,USD,TRUE,FALSE,2,0,"Rochester, New York"
19-Nov,0,0,CAD,FALSE,FALSE,0,0,None
19-Nov,0,0,USD,TRUE,FALSE,-99,-99,None
19-Nov,1,0,EUR,FALSE,FALSE,0,0,None
19-Dec,1,0,USD,TRUE,FALSE,0,0,"Hampton, Virginia"
19-Nov,0,1,USD,FALSE,FALSE,-99,-99,None
19-Nov,11,1,USD,FALSE,FALSE,0,0,"Gurgaon, India"
19-Nov,1,0,AUD,FALSE,FALSE,0,0,None
19-Nov,2,0,USD,TRUE,FALSE,0,0,None
19-Nov,3,1,USD,TRUE,FALSE,0,0,"Lincoln, Nebraska"
19-Nov,343,4,USD,FALSE,FALSE,22,0,None
19-Nov,1,0,USD,TRUE,FALSE,0,0,None
19-Nov,1,0,USD,TRUE,FALSE,0,0,"Land O' Lakes, Florida"
19-Nov,11,1,USD,FALSE,FALSE,0,0,None
19-Dec,2,0,USD,TRUE,FALSE,0,0,"Colorado, United States"
19-Dec,16,0,USD,TRUE,FALSE,0,0,"Iowa City, Iowa"
19-Nov,0,1,GBP,FALSE,TRUE,0,0,United Kingdom
19-Nov,27,1,EUR,FALSE,FALSE,0,0,None
19-Nov,1,0,USD,TRUE,FALSE,0,0,None
19-Nov,1,0,USD,TRUE,FALSE,0,0,"Nokomis, Florida"
19-Nov,14,2,USD,TRUE,FALSE,0,0,"Magna, Utah"
19-Nov,9,2,USD,TRUE,FALSE,0,0,"Milwaukee, Wisconsin"
19-Nov,2,2,USD,TRUE,TRUE,1,0,None
19-Nov,7,2,USD,TRUE,TRUE,1,0,"Fairview, California"
19-Nov,2,0,USD,FALSE,FALSE,0,0,"Roorkee, India"
19-Nov,7,1,USD,FALSE,FALSE,0,0,None
19-Nov,3,2,CAD,FALSE,FALSE,6,0,"Quebec, Canada"
19-Nov,2,0,USD,TRUE,FALSE,0,0,None
19-Nov,0,0,USD,TRUE,FALSE,-99,-99,None
19-Nov,10,3,USD,TRUE,FALSE,1,0,"Little Rock, Arkansas"
19-Nov,44,7,USD,FALSE,FALSE,156,0,"Vancouver, Canada"
19-Nov,0,0,USD,FALSE,FALSE,-99,-99,None
19-Nov,0,1,USD,FALSE,FALSE,-99,-99,None
19-Nov,0,1,USD,FALSE,FALSE,-99,-99,None
19-Dec,2,0,USD,TRUE,FALSE,0,0,None
19-Nov,6,0,AUD,FALSE,FALSE,0,0,None
19-Dec,6,1,USD,TRUE,FALSE,0,0,"Chandler, Texas"
19-Nov,18,0,AUD,FALSE,FALSE,0,0,"Cabarita Beach, Australia"
19-Nov,4,1,USD,TRUE,FALSE,0,0,None
19-Nov,1,0,USD,TRUE,FALSE,0,0,"Gary, Indiana"
19-Nov,0,0,AUD,FALSE,FALSE,-99,-99,None
19-Nov,2,0,USD,TRUE,FALSE,0,0,None
19-Nov,1,1,USD,TRUE,FALSE,0,0,"Spanish Fork, Utah"
19-Nov,0,1,USD,TRUE,FALSE,-99,-99,None
19-Nov,0,0,USD,TRUE,FALSE,-99,-99,None
19-Nov,0,0,USD,FALSE,FALSE,0,0,None
19-Nov,5,1,USD,TRUE,FALSE,6,0,"Sugar Land, Texas"
19-Nov,6,1,USD,TRUE,FALSE,0,0,None
19-Nov,1,0,USD,TRUE,FALSE,0,0,None
19-Nov,1,0,USD,FALSE,FALSE,0,0,None
19-Nov,38,9,USD,TRUE,TRUE,2,0,"Boise, Idaho"
19-Nov,5,1,USD,TRUE,FALSE,0,0,None
19-Nov,6,5,USD,TRUE,FALSE,1,1,"Los Angeles, California"
19-Nov,22,1,USD,FALSE,FALSE,0,0,None
19-Nov,2,1,USD,TRUE,FALSE,0,0,"Miami, Florida"
19-Nov,0,1,USD,FALSE,FALSE,0,0,"Bangkok, Thailand"
19-Nov,3,0,USD,FALSE,FALSE,0,0,None
19-Nov,2,0,USD,TRUE,FALSE,2,0,None
19-Nov,3,0,USD,FALSE,FALSE,0,0,"Moscow, Russia"
19-Nov,16,1,USD,TRUE,FALSE,0,0,None
19-Nov,5,4,USD,FALSE,FALSE,6,0,"Walnut, California"
19-Nov,2,0,USD,TRUE,FALSE,5,0,None
19-Dec,4,0,AUD,FALSE,FALSE,0,0,"Melbourne, Australia"
19-Nov,2,0,CAD,FALSE,FALSE,0,0,None
19-Nov,1,0,CAD,FALSE,FALSE,0,0,None
19-Nov,20,1,USD,FALSE,FALSE,7,0,"Malabon, Philippines"
19-Nov,0,0,USD,TRUE,FALSE,-99,-99,None
19-Nov,1,0,USD,TRUE,FALSE,0,0,None
19-Nov,0,0,USD,TRUE,FALSE,-99,-99,None
19-Nov,0,0,USD,FALSE,TRUE,-99,-99,None
19-Nov,1,1,AUD,FALSE,FALSE,0,0,"Melbourne, Australia"
19-Nov,0,1,USD,TRUE,FALSE,2,0,None
19-Nov,0,0,USD,FALSE,TRUE,-99,-99,None
19-Nov,1,1,AUD,FALSE,FALSE,0,0,"Melbourne, Australia"
